OBJECTID,YEAR_,STATE,AGENCY,UNIT_ID,FIRE_NAME,INC_NUM,ALARM_DATE,CONT_DATE,CAUSE,COMMENTS,REPORT_AC,GIS_ACRES,C_METHOD,OBJECTIVE,FIRE_NUM,SHAPEAREA,SHAPELEN
41711,2017,CA,CCO,KRN,TANK,01742935,2017/10/26 00:00:00+00,2017/10/26 00:00:00+00,14, ,,46.81921005,1,1,,284841.69997563,3152.76965695722
41712,2017,CA,CCO,KRN,SWITCH,01733515,2017/08/24 00:00:00+00,2017/08/24 00:00:00+00,14, ,,10.06964111,1,1,,60713.72749942,1526.39965067913
41713,2017,CA,CCO,KRN,LAKEWOOD,01738977,2017/09/29 00:00:00+00,2017/09/29 00:00:00+00,14, ,,39.75836563,1,1,,243842.158335075,3171.07384599059
41714,2017,CA,CCO,KRN,SIERRA,01731881,2017/08/13 00:00:00+00,2017/08/13 00:00:00+00,14, ,,0.78089035,1,1,,4803.94447338,305.746497489272
41715,2017,CA,CCO,KRN,GULTCH,01731587,2017/08/11 00:00:00+00,2017/08/12 00:00:00+00,14, ,,9.24996281,1,1,,56763.50278209,1649.88014960863
41716,2017,CA,CCO,KRN,CALGARY,01730675,2017/08/05 00:00:00+00,2017/08/07 00:00:00+00,14, ,,50.46430969,1,1,,310442.06008693,3922.4398075897
41717,2017,CA,CCO,KRN,FARMER,01722809,2017/06/17 00:00:00+00,2017/06/17 00:00:00+00,14, ,,11.45716,1,1,,69767.361370435,1133.99407851288
41718,2017,CA,CCO,KRN,RESOURCE,01724201,2017/06/25 00:00:00+00,2017/06/25 00:00:00+00,14, ,,4.54827452,1,1,,27881.662075745,864.556367248251
41719,2017,CA,CCO,KRN,HILL CREST,01719471,2017/06/08 00:00:00+00,2017/06/08 00:00:00+00,14, ,,105.08792114,1,1,,639255.129643835,4532.14185862958
41720,2017,CA,CCO,KRN,LOOP,01722426,2017/06/15 00:00:00+00,2017/06/15 00:00:00+00,14, ,,9.85579014,1,1,,60028.42742904,1156.95233917669
41721,2017,CA,CCO,KRN,AIRPORT,01715786,2017/04/29 00:00:00+00,2017/04/29 00:00:00+00,14, ,,20.80274582,1,1,,126272.18296764,1910.96700564283
41722,2017,CA,CCO,KRN,MID,01732273,2017/08/15 00:00:00+00,2017/08/15 00:00:00+00,14, ,,0.07041682,1,1,,427.175474745,111.764572919662
41723,2017,CA,CCO,KRN,OILFIELD,01717104,2017/05/08 00:00:00+00,2017/05/08 00:00:00+00,14, ,,9.45708561,1,1,,57878.714567385,1143.96899200457
41724,2017,CA,CCO,KRN,GRANITE,01715266,2017/04/25 00:00:00+00,2017/04/25 00:00:00+00,14, ,,4.67176008,1,1,,28619.18929684,957.318113622273
